Amplitude,Capacitance,Dissipation
10.000000E-3,1.097600E-9,303.800000E-6
30.000000E-3,1.097300E-9,303.400000E-6
50.000000E-3,1.097000E-9,303.200000E-6
70.000000E-3,1.097900E-9,301.900000E-6
90.000000E-3,1.097800E-9,301.600000E-6
110.000000E-3,1.097700E-9,301.300000E-6
130.000000E-3,1.097600E-9,301.200000E-6
150.000000E-3,1.097400E-9,301.000000E-6
170.000000E-3,1.097400E-9,300.800000E-6
190.000000E-3,1.097300E-9,300.700000E-6
210.000000E-3,1.097100E-9,300.600000E-6
230.000000E-3,1.097100E-9,300.500000E-6
250.000000E-3,1.097100E-9,300.400000E-6
270.000000E-3,1.097000E-9,300.300000E-6
290.000000E-3,1.097000E-9,300.200000E-6
310.000000E-3,1.096900E-9,300.100000E-6
330.000000E-3,1.096800E-9,300.100000E-6
350.000000E-3,1.096800E-9,300.100000E-6
370.000000E-3,1.096700E-9,300.100000E-6
390.000000E-3,1.096700E-9,300.000000E-6
