Amplitude,Capacitance,Dissipation
10.000000E-3,1.093100E-9,302.700000E-6
30.000000E-3,1.093100E-9,302.400000E-6
50.000000E-3,1.092800E-9,302.300000E-6
70.000000E-3,1.093900E-9,301.200000E-6
90.000000E-3,1.093800E-9,301.100000E-6
110.000000E-3,1.093800E-9,300.900000E-6
130.000000E-3,1.093800E-9,300.900000E-6
150.000000E-3,1.093700E-9,300.800000E-6
170.000000E-3,1.093700E-9,300.700000E-6
190.000000E-3,1.093700E-9,300.600000E-6
210.000000E-3,1.093500E-9,300.600000E-6
230.000000E-3,1.093400E-9,300.600000E-6
250.000000E-3,1.093600E-9,300.500000E-6
270.000000E-3,1.093400E-9,300.500000E-6
290.000000E-3,1.093400E-9,300.400000E-6
310.000000E-3,1.093400E-9,300.400000E-6
330.000000E-3,1.093400E-9,300.300000E-6
350.000000E-3,1.093400E-9,300.400000E-6
370.000000E-3,1.093400E-9,300.400000E-6
390.000000E-3,1.093400E-9,300.300000E-6
