Amplitude,Capacitance,Dissipation
10.000000E-3,2.773000E-9,90.200000E-6
30.000000E-3,2.773000E-9,89.700000E-6
50.000000E-3,2.772000E-9,89.200000E-6
70.000000E-3,2.775000E-9,88.500000E-6
90.000000E-3,2.775000E-9,88.000000E-6
110.000000E-3,2.775000E-9,87.600000E-6
130.000000E-3,2.774000E-9,87.400000E-6
150.000000E-3,2.774000E-9,87.000000E-6
170.000000E-3,2.774000E-9,86.700000E-6
190.000000E-3,2.774000E-9,86.400000E-6
210.000000E-3,2.772000E-9,86.300000E-6
230.000000E-3,2.772000E-9,86.000000E-6
250.000000E-3,2.773000E-9,85.900000E-6
270.000000E-3,2.773000E-9,85.700000E-6
290.000000E-3,2.773000E-9,85.500000E-6
310.000000E-3,2.773000E-9,85.300000E-6
330.000000E-3,2.773000E-9,85.200000E-6
350.000000E-3,2.772000E-9,85.200000E-6
370.000000E-3,2.772000E-9,85.100000E-6
390.000000E-3,2.772000E-9,85.000000E-6
