Amplitude,Capacitance,Dissipation
10.000000E-3,1.047000E-9,441.000000E-6
30.000000E-3,1.047000E-9,438.000000E-6
50.000000E-3,1.046000E-9,437.000000E-6
70.000000E-3,1.046000E-9,432.000000E-6
90.000000E-3,1.046000E-9,430.000000E-6
110.000000E-3,1.046000E-9,427.000000E-6
130.000000E-3,1.045000E-9,427.000000E-6
150.000000E-3,1.045000E-9,426.000000E-6
170.000000E-3,1.045000E-9,424.000000E-6
190.000000E-3,1.044000E-9,423.000000E-6
210.000000E-3,1.044000E-9,423.000000E-6
230.000000E-3,1.044000E-9,422.000000E-6
250.000000E-3,1.044000E-9,421.000000E-6
270.000000E-3,1.043000E-9,420.000000E-6
290.000000E-3,1.043000E-9,419.000000E-6
310.000000E-3,1.043200E-9,419.000000E-6
330.000000E-3,1.043100E-9,418.000000E-6
350.000000E-3,1.042800E-9,419.000000E-6
370.000000E-3,1.042700E-9,418.000000E-6
390.000000E-3,1.042600E-9,418.000000E-6
