Amplitude,Capacitance,Dissipation
10.000000E-3,923.000000E-12,638.000000E-6
30.000000E-3,924.000000E-12,636.000000E-6
50.000000E-3,924.000000E-12,635.000000E-6
70.000000E-3,925.000000E-12,633.000000E-6
90.000000E-3,924.000000E-12,632.000000E-6
110.000000E-3,924.000000E-12,633.000000E-6
130.000000E-3,924.000000E-12,633.000000E-6
150.000000E-3,924.000000E-12,633.000000E-6
170.000000E-3,924.000000E-12,633.000000E-6
190.000000E-3,923.000000E-12,634.000000E-6
210.000000E-3,923.000000E-12,635.000000E-6
230.000000E-3,923.000000E-12,634.000000E-6
250.000000E-3,923.000000E-12,634.000000E-6
270.000000E-3,923.000000E-12,634.000000E-6
290.000000E-3,924.000000E-12,633.000000E-6
310.000000E-3,923.700000E-12,632.000000E-6
330.000000E-3,924.100000E-12,631.000000E-6
350.000000E-3,924.100000E-12,633.000000E-6
370.000000E-3,923.400000E-12,633.000000E-6
390.000000E-3,923.300000E-12,633.000000E-6
