Amplitude,Capacitance,Dissipation
10.000000E-3,2.719000E-9,87.100000E-6
30.000000E-3,2.719000E-9,86.800000E-6
50.000000E-3,2.718000E-9,86.500000E-6
70.000000E-3,2.722000E-9,86.000000E-6
90.000000E-3,2.723000E-9,85.700000E-6
110.000000E-3,2.724000E-9,85.400000E-6
130.000000E-3,2.723000E-9,85.300000E-6
150.000000E-3,2.724000E-9,85.100000E-6
170.000000E-3,2.724000E-9,84.900000E-6
190.000000E-3,2.725000E-9,84.700000E-6
210.000000E-3,2.724000E-9,84.700000E-6
230.000000E-3,2.724000E-9,84.600000E-6
250.000000E-3,2.725000E-9,84.500000E-6
270.000000E-3,2.725000E-9,84.400000E-6
290.000000E-3,2.726000E-9,84.300000E-6
310.000000E-3,2.726000E-9,84.200000E-6
330.000000E-3,2.726000E-9,84.200000E-6
350.000000E-3,2.725000E-9,84.200000E-6
370.000000E-3,2.725000E-9,84.200000E-6
390.000000E-3,2.726000E-9,84.200000E-6
