Amplitude,Capacitance,Dissipation
10.000000E-3,2.808000E-9,92.700000E-6
30.000000E-3,2.806000E-9,92.200000E-6
50.000000E-3,2.804000E-9,91.700000E-6
70.000000E-3,2.805000E-9,91.000000E-6
90.000000E-3,2.804000E-9,90.600000E-6
110.000000E-3,2.803000E-9,90.200000E-6
130.000000E-3,2.801000E-9,90.000000E-6
150.000000E-3,2.800000E-9,89.700000E-6
170.000000E-3,2.799000E-9,89.400000E-6
190.000000E-3,2.798000E-9,89.200000E-6
210.000000E-3,2.796000E-9,89.000000E-6
230.000000E-3,2.796000E-9,88.800000E-6
250.000000E-3,2.795000E-9,88.600000E-6
270.000000E-3,2.795000E-9,88.500000E-6
290.000000E-3,2.794000E-9,88.300000E-6
310.000000E-3,2.794000E-9,88.100000E-6
330.000000E-3,2.794000E-9,87.900000E-6
350.000000E-3,2.793000E-9,87.900000E-6
370.000000E-3,2.792000E-9,87.800000E-6
390.000000E-3,2.792000E-9,87.700000E-6
